radio;mnc;lon;lat;created
3G;Claro;-79.854472;-2.073579;1347360297
3G;Claro;-79.853439331055;-2.0757293701172;1347932626
3G;Claro;-79.883062;-2.15428;1347939852
3G;Claro;-79.889839;-2.15375;1347939852
3G;Claro;-79.837107;-2.163228;1347939852
2G;Claro;-79.881389;-2.152964;1347939852
3G;Claro;-78.125839;0.352936;1349559706
3G;Claro;-78.123832;0.345488;1351072483
3G;Claro;-78.124466;0.344284;1351072479
3G;Claro;-78.121235;0.341101;1351092450
3G;Claro;-79.603991;-2.140863;1351657579
3G;Claro;-79.177035;-0.283472;1352171723
3G;Claro;-79.885025;-2.145375;1353354915
3G;Claro;-79.883652;-2.144669;1353354941
3G;Claro;-79.88118;-2.146042;1353354968
3G;Claro;-79.878616;-2.162018;1353376969
3G;Claro;-79.877335;-2.145218;1353355020
2G;Claro;-79.87678527832;-2.1471405029297;1353355045
2G;Claro;-79.87727;-2.150049;1353376969
3G;Claro;-79.879352;-2.15457;1353376969
2G;Claro;-79.86442565918;-2.1485137939453;1353355339
2G;Claro;-79.864426;-2.147141;1353355364
2G;Claro;-79.86442565918;-2.1457672119141;1353355429
3G;Claro;-79.866057;-2.13523;1353376969
3G;Claro;-79.864479;-2.129182;1353376969
3G;Claro;-79.863394;-2.1311;1353376969
3G;Claro;-79.871905;-2.10613;1353376969
3G;Claro;-79.872848;-2.105349;1353376969
3G;Claro;-79.873342;-2.103328;1353376969
3G;Claro;-79.174825;-0.253462;1352895421
3G;Claro;-79.170587;-0.246602;1352918274
3G;Claro;-79.184927;-0.269545;1353326726
3G;Claro;-79.182887;-0.263818;1353326664
3G;Claro;-79.186739;-0.264005;1353326156
3G;Claro;-79.178529;-0.259115;1352900130
3G;Claro;-79.174935;-0.262495;1352445963
3G;Claro;-79.180527;-0.254059;1352918615
3G;Claro;-79.17675;-0.254108;1352918511
3G;Claro;-79.176589;-0.251423;1352918464
3G;Claro;-79.175475;-0.248615;1352918427
3G;Claro;-79.185505;-0.282555;1352318147
3G;Claro;-79.208939;-0.288535;1352823263
3G;Claro;-79.197781;-0.276753;1352822707
3G;Claro;-79.223661;-0.274117;1353533402
3G;Claro;-79.213211;-0.287979;1352573838
2G;Claro;-79.21435;-0.291621;1353533402
2G;Claro;-79.232516;-0.314386;1353533402
3G;Claro;-79.233025;-0.32532;1352823600
3G;Claro;-79.285585;-0.390721;1352824372
2G;Claro;-79.292538;-0.395314;1353533402
2G;Claro;-79.300454;-0.405787;1353533402
2G;Claro;-79.322053;-0.442229;1353533402
2G;Claro;-79.326928;-0.46153;1353533402
2G;Claro;-79.370643;-0.493198;1353533402
2G;Claro;-79.361276;-0.514687;1353533402
3G;Claro;-79.363226;-0.526108;1353533402
3G;Claro;-79.370129;-0.574034;1353533402
2G;Claro;-79.271321;-0.559922;1353533408
2G;Claro;-79.301376;-0.404129;1353533408
3G;Claro;-79.213181;-0.294113;1352317712
2G;Claro;-79.238794;-0.258081;1353533408
3G;Claro;-79.176518;-0.28236;1353431398
3G;Claro;-79.168879;-0.260595;1352446045
3G;Claro;-79.163608;-0.260294;1352448687
3G;Claro;-79.162673950195;-0.25886535644531;1352394570
3G;Claro;-79.161301;-0.257409;1352448602
