Name,longitude,latitude,Kapasiteet
Hanasaari,24.840319,60.16582,10
Keilalahti,24.827467,60.171524,28
Westendinasema,24.805758,60.168266,16
Golfpolku,24.796136,60.168143,16
Revontulentie,24.802938,60.171551,30
Sateentie,24.810688,60.173424,18
Hakalehto,24.79139,60.173567,24
Oravannahkatori,24.792559,60.175769,16
Länsituuli,24.802049,60.175358,24
Tuulimäki,24.806051,60.174144,18
Tapionaukio,24.805825,60.176168,26
Kulttuuriaukio,24.803942,60.177588,30
Ahertajantie,24.797984,60.17875,20
Mäntyviita,24.810974,60.178702,10
Otsolahti,24.817423,60.178655,18
Keilaniemi (M),24.82895,60.175233,40
Keilaranta,24.835132,60.178762,24
Betonimies,24.831804,60.180027,16
Tekniikantie,24.824747,60.180806,18
Innopoli,24.81422,60.185096,20
Hagalundsparken,24.817403,60.18363,14
"Aalto University (M), Tietotie",24.820099,60.184987,20
"Aalto University (M), Korkeakoulua",24.826671,60.184312,42
Otaranta,24.837133,60.18483,22
Sähkömies,24.829985,60.188499,12
Jämeräntaival,24.835033,60.188118,30
Maarinranta,24.810193,60.187529,12
Tietäjä,24.807083,60.189143,20
Metsänneidonpolku,24.806152,60.186731,19
Kalevalantie,24.804022,60.184765,21
Louhentori,24.796959,60.18715,16
Pohjankulma,24.794014,60.18288,25
Koivu-Mankkaa,24.78576,60.182976,23
Mankkaanlaaksontie,24.780478,60.188706,26
Mankkaanaukio,24.769021,60.194599,20
Tapiola Sports Park,24.784654,60.177749,32
Sports Park (M),24.779428,60.17465,28
Tontunmäentie,24.769667,60.176107,16
Olarinluoma,24.760606,60.180848,18
Niittymaa,24.775913,60.171127,21
Niittykumpu (M),24.763184,60.170758,35
Haukilahdenkatu,24.772708,60.166481,16
Haukilahdenaukio,24.775882,60.162396,16
Hauenkallio,24.767831,60.162477,12
Haukilahdenranta,24.769864,60.158048,16
Mellstenintie,24.773993,60.154941,25
Toppelundintie,24.782477,60.1591405,12
Westendintie,24.791754,60.158194,16
Toppelundinportti,24.7848628,60.1624471,20
Linnakepolku,24.790132,60.1637,10
Nokkala,24.754344,60.147974,18
Matinlahdenranta,24.754196,60.151041,20
Nuottaniementie,24.741546,60.147921,15
Sepetlahdentie,24.741234,60.152343,10
Matinkartanontie,24.752489,60.156258,21
Matinkyläntie,24.744978,60.155689,15
Tiistiläntie,24.737664,60.156755,24
Tiistinkallio,24.729112,60.153737,12
Etuniementie,24.724835,60.160645,10
Hauenkalliontie,24.756272,60.161138,12
Nelikkotie,24.74663,60.161588,16
Suomenlahdentie,24.741294,60.160015,32
